ccn_str,facility_name_reit_file,state,owner_cluster,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,ltcfocus_obs_rehosprate,ltcfocus_adj_rehosprate,ltcfocus_source_file,cms_provider_name,cms_ownership_type,cms_legal_business_name,cms_certified_beds,cms_average_residents,cms_chow_last_12mos,cms_overall_rating,cms_survey_rating,cms_quality_rating,cms_staffing_rating,cms_rn_staffing_rating,cms_provider_aide_hprd,cms_provider_lpn_hprd,cms_provider_rn_hprd,cms_provider_total_licensed_hprd,cms_provider_total_nurse_hprd,cms_provider_pt_hprd,cms_staffing_file_quarters,cms_staffing_file_aide_hprd,cms_staffing_file_lpn_hprd,cms_staffing_file_rn_hprd,cms_staffing_file_total_licensed_hprd,cms_staffing_file_total_nurse_hprd,cms_staffing_file_pt_hprd,cms_staffing_file_expected_aide,cms_staffing_file_expected_lpn,cms_staffing_file_expected_rn,cms_staffing_file_expected_total,cms_staffing_file_adjusted_aide,cms_staffing_file_adjusted_lpn,cms_staffing_file_adjusted_rn,cms_staffing_file_adjusted_total,cms_deficiency_citations,cms_deficiency_distinct_tags,cms_deficiency_complaint_citations,cms_deficiency_standard_citations,cms_deficiency_unique_survey_dates,cms_survey_summary_health_deficiencies,cms_survey_summary_fire_deficiencies,cms_survey_summary_health_severity_score,cms_survey_summary_health_ij_count,cms_survey_summary_health_severe_count
155735,ASHFORD PLACE HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2013,-2,ASHFORD PLACE HEALTH CAMPUS,IN,68,,51.55,40.91,18.18,0.273,1.473,2.323,4.068,0.213,0.2117,facility_2013.xls,ASHFORD PLACE HEALTH CAMPUS,FOR PROFIT - CORPORATION,Legal Business Name Not Available,68,54,N,4,3,3,4,4,3.11,1.84,0.98,2.82,5.94,0.11,4.0,2.775,1.655,0.845,2.505,5.28,0.055,2.593,0.692,1.15075,4.4375,2.6325000000000003,2.0175,0.5625,4.827500000000001,13.0,13.0,2.0,11.0,3.0,,,,,
155735,ASHFORD PLACE HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2014,-1,ASHFORD PLACE HEALTH CAMPUS,IN,68,,52.35,40.74,27.78,0.427,1.033,1.563,3.023,0.12,0.1335,facility_2014.xls,ASHFORD PLACE HEALTH CAMPUS,For profit - Corporation,"TRILOGY HEALTHCARE OPERATIONS OF SHELBYVILLE, LLC",68,54,N,3,2,5,3,4,1.62778,1.03333,0.77037,1.8037,3.43148,0.19167,4.0,2.23507,1.36288,0.7278225,2.090695,4.3257725,0.0479175,2.5398750000000003,0.72184,1.2249975,4.486715,2.149475,1.5599275000000001,0.4459725,3.8730925,11.0,11.0,0.0,11.0,2.0,,,,,
155735,ASHFORD PLACE HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2015,0,ASHFORD PLACE HEALTH CAMPUS,IN,68,,56.76,44.0,24.0,0.114,1.52,1.816,3.45,0.1892,0.1953,facility_2015.xls,ASHFORD PLACE HEALTH CAMPUS,For profit - Corporation,Legal Business Name Not Available,68,54,N,2,2,2,3,3,1.62778,1.03333,0.77037,1.8037,3.43148,0.19167,4.0,1.62778,1.03333,0.77037,1.8037,3.43148,0.19167,2.35757,0.65224,1.13757,4.14738,1.69415,1.31495,0.50601,3.3351,13.0,13.0,3.0,10.0,4.0,,,,,
155735,ASHFORD PLACE HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2016,1,ASHFORD PLACE HEALTH CAMPUS,IN,68,,52.56,49.09,21.82,0.585,0.774,1.485,2.844,0.1667,,facility_2016.xls,ASHFORD PLACE HEALTH CAMPUS,Government - County,HANCOCK REGIONAL HOSPITAL,68,50,N,2,2,3,3,3,2.015,1.52,0.678,2.198,4.213,0.164,4.0,2.015,1.52,0.678,2.198,4.213,0.164,2.48143,0.63967,1.1475625,4.268655,1.99336,1.9723225,0.44152,3.979365,8.0,8.0,0.0,8.0,1.0,,,,,
155735,ASHFORD PLACE HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2017,2,ASHFORD PLACE HEALTH CAMPUS,IN,68,53,53.26,58.82,19.61,0.487,0.978,1.629,3.095,0.1809,,facility_2017.xls,ASHFORD PLACE HEALTH CAMPUS,Government - County,HANCOCK REGIONAL HOSPITAL,68,55,N,3,2,5,2,4,1.77909,0.77364,1.05909,1.83273,3.61182,0.10545,,,,,,,,,,,,,,,,26.0,16.0,3.0,23.0,5.0,8,,,0,0
155736,MILL POND HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2013,-2,MILL POND HEALTH CAMPUS,IN,68,,51.66,35.85,37.74,0.292,1.637,1.733,3.661,0.148,0.1589,facility_2013.xls,MILL POND HEALTH CAMPUS,FOR PROFIT - CORPORATION,Legal Business Name Not Available,68,56,N,4,4,2,4,3,2.5,1.9,0.77,2.67,5.17,0.13,4.0,2.5,1.9,0.77,2.67,5.17,0.165,2.345,0.659,1.215,4.22,2.62,2.39,0.47,4.93,1.0,1.0,0.0,1.0,1.0,,,,,
155736,MILL POND HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2014,-1,MILL POND HEALTH CAMPUS,IN,68,,51.0,35.85,37.74,0.292,1.637,1.733,3.661,0.1333,0.1459,facility_2014.xls,MILL POND HEALTH CAMPUS,For profit - Corporation,"TRILOGY HEALTHCARE OPERATIONS OF GREENCASTLE, LLC",68,53,N,5,5,4,4,3,2.23019,1.63679,0.76604,2.40283,4.63302,0.13491,4.0,2.2976425,1.7025925,0.765825,2.4684174999999997,4.76606,0.15207500000000002,2.3972350000000002,0.642385,1.1459175,4.1855325,2.3541425,2.1986075,0.4999675,4.5893175,8.0,8.0,2.0,6.0,2.0,,,,,
155736,MILL POND HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2015,0,MILL POND HEALTH CAMPUS,IN,68,,57.63,30.36,37.5,0.446,1.158,1.312,2.915,0.2162,0.2144,facility_2015.xls,MILL POND HEALTH CAMPUS,For profit - Corporation,PUTNAM COUNTY HOSPITAL,68,56,Y,4,4,2,3,4,1.58304,1.15804,0.85357,2.01161,3.59465,0.15268,4.0,1.7448275,1.2777275,0.8316875,2.1094150000000003,3.8542425000000002,0.14823750000000002,2.334385,0.6481775,1.16508,4.147635,1.830685,1.6371475000000002,0.5331025,3.7457925,7.0,7.0,1.0,7.0,2.0,,,,,
155736,MILL POND HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2016,1,MILL POND HEALTH CAMPUS,IN,68,,53.58,63.64,18.18,0.599,0.925,1.326,2.85,0.1934,,facility_2016.xls,MILL POND HEALTH CAMPUS,For profit - Corporation,PUTNAM COUNTY HOSPITAL,68,56,Y,4,4,2,3,4,1.58304,1.15804,0.85357,2.01161,3.59465,0.15268,4.0,1.4997,1.0412949999999999,0.9858750000000001,2.02717,3.52687,0.12134,2.37043,0.6505799999999999,1.1219549999999998,4.14296,1.5545499999999999,1.32901,0.6631400000000001,3.4313000000000002,4.0,4.0,0.0,4.0,1.0,,,,,
155736,MILL POND HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2017,2,MILL POND HEALTH CAMPUS,IN,68,47,59.31,50.91,21.82,0.242,1.122,1.545,2.908,0.2488,,facility_2017.xls,MILL POND HEALTH CAMPUS,For profit - Corporation,PUTNAM COUNTY HOSPITAL,68,55,N,3,4,1,3,3,1.90182,1.12182,0.65727,1.77909,3.68091,0.10364,,,,,,,,,,,,,,,,15.0,14.0,1.0,15.0,3.0,6,,,0,0
