105755,HEARTLAND HEALTH CARE CENTER BOYNTON B,FL
105755,HEARTLAND HEALTH CARE CENTER BOYNTON BEACH,FL
105762,HEARTLAND HEALTH CARE CENTER PROSPERIT,FL
105762,HEARTLAND HEALTH CARE CENTER PROSPERITY OAKS,FL
105812,ROYAL CARE OF AVON PARK,FL
105842,HEARTLAND HEALTH CARE & REHAB,FL
105842,HEARTLAND HEALTH CARE & REHABILITATION CENTER,FL
105842,HEARTLAND HEALTH CARE & REHABILITATION,FL
105852,HEARTLAND HEALTH CARE AND REHABILITATI,FL
105852,HEARTLAND HEALTH CARE AND REHABILITATION CENTER OF,FL
105911,MANORCARE HEALTH SERVICES WEST PALM BE,FL
105911,MANORCARE HEALTH SERVICES WEST PALM BEACH,FL
105955,HARBORCHASE OF VENICE,FL
105965,MANORCARE HEALTH SERVICES,FL
105978,CRYSTAL OAKS OF PINELLAS,FL
106005,MANORCARE HEALTH SERVICES,FL
106020,MANORCARE HEALTH SERVICES,FL
106057,LIFE CARE CENTER OF ESTERO,FL
115025,GOLDEN LIVINGCENTER - GLENWOOD,GA
115110,SIGNATURE HEALTHCARE OF BUCKHEAD,GA
115494,MCRAE MANOR NURSING HOME,GA
115551,CUMMING NURSING CENTER,GA
115645,GWINNETT EXTENDED CARE CENTER,GA
115714,RESTORATION HEALTHCARE OF COMMERCE,GA
125033,HARRY AND JEANETTE WEINBERG CARE CENTE,HI
135107,IDAHO FALLS CARE & REHABILITATION CENT,ID
135125,MERIDIAN CARE & REHABILITATION CENTER,ID
145004,MANORCARE OF ELGIN,IL
145012,HEARTLAND OF GALESBURG,IL
145021,HEARTLAND OF MACOMB,IL
145027,HEARTLAND OF MOLINE,IL
145031,HEARTLAND OF NORMAL,IL
145038,HEARTLAND OF DECATUR,IL
145039,HEARTLAND OF PEORIA,IL
145043,MANORCARE OF KANKAKEE,IL
145045,MANORCARE OF NAPERVILLE,IL
145070,BERWYN REHABILITATION CENTER,IL
145087,MANORCARE OF OAK LAWN WEST,IL
145190,HEARTLAND OF CHAMPAIGN,IL
145199,MANORCARE OF ARLINGTON HEIGHTS,IL
145246,MANORCARE OF HINSDALE,IL
145248,MORTON VILLA CARE CENTER,IL
145278,STERLING PAVILION,IL
145338,MANORCARE OF WESTMONT,IL
145350,MANORCARE OF ROLLING MEADOWS,IL
145363,MANORCARE OF OAK LAWN EAST,IL
145380,LUTHERAN CARE CENTER,IL
145416,HEARTLAND MANOR NURSING CENTER,IL
145445,OAK HILL,IL
145478,NOKOMIS REHAB & HEALTH CARE CENTER,IL
145502,TAYLORVILLE CARE CENTER,IL
145524,HEARTLAND OF RIVERVIEW,IL
145593,MANORCARE OF LIBERTYVILLE,IL
145597,PEKIN MANOR,IL
145600,HEARTLAND OF CANTON,IL
145603,HEARTLAND OF PAXTON,IL
145604,HEARTLAND OF HENRY,IL
145607,MANORCARE OF PALOS HEIGHTS EAST,IL
145608,MANORCARE OF SOUTH HOLLAND,IL
145634,ASTORIA PLACE LIVING & REHAB,IL
145655,V I P MANOR,IL
145684,MANORCARE OF HOMEWOOD,IL
145689,MANORCARE OF ELK GROVE VILLAGE,IL
145710,MEADOWBROOK MANOR - BOLINGBROOK,IL
145838,PETERSON PARK HEALTH CARE CTR,IL
145880,HILLVIEW HEALTH CARE CENTER,IL
145893,MANORCARE OF PALOS HEIGHTS WEST,IL
145908,AMBERWOOD CARE CENTER,IL
145923,MANORCARE OF HIGHLAND PARK,IL
145932,MANORCARE OF WILMETTE,IL
145949,HILLCREST HOME,IL
