ccn_str,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_occupancy_pct,ltcfocus_rn_hprd,ltcfocus_directcare_hprd,baseline_medicaid_share,ltcfocus_medicare_share,baseline_support_years,sample_role,valid_pseudocohorts,analysis_state,facility_name_treatment,treat_year,treated_ever
315216,190.0,4.5,91.00999999999999,0.6387477097442229,3.585146641828397,75.13916666666667,12.758333333333333,12.0,treated,,NJ,COMPLETE CARE AT CEDAR GROVE,2021.0,1
315219,190.0,1.0,90.78916666666667,0.591223500577607,3.0737562760238784,74.75416666666666,11.738333333333335,12.0,treated,,NJ,"COMPLETE CARE AT VOORHEES, LLC",2021.0,1
315228,120.0,5.5,82.29166666666667,0.3897158216975157,3.3856555830785737,55.66833333333333,20.400833333333335,12.0,treated,,NJ,"COMPLETE CARE AT COURT HOUSE, LLC",2021.0,1
315316,120.0,2.0,95.83333333333333,0.6144114349419764,3.176650579003592,59.555,18.080000000000002,12.0,treated,,NJ,COMPLETE CARE AT BRAKELEY PARK LLC,2021.0,1
315349,62.0,2.5,90.1875,0.881102697935999,3.502061947833519,58.145833333333336,24.971666666666664,12.0,treated,,NJ,"COMPLETE CARE AT INGLEMOOR, LLC",2021.0,1
315362,95.33333333333333,3.5,82.14666666666666,0.7596428665031251,3.3517595501429693,70.3775,13.5025,12.0,treated,,NJ,COMPLETE CARE AT PARK PLACE LLC,2021.0,1
345089,90.0,0.5,92.111,0.24644704987960092,3.280234185758514,73.072,9.453999999999999,10.0,treated,,NC,Walnut Cove Health and Rehabilitation,2019.0,1
345258,107.0,1.0,87.103,0.3551497619429608,3.246125800982399,58.239,23.273,10.0,treated,,NC,Kannapolis Health and Rehabilitation,2019.0,1
345329,112.6,3.0,81.607,0.29721459015731494,3.2017814715678057,69.369,13.544999999999998,10.0,treated,,NC,Hibriten Mountain Nursing and Rehabilitation,2019.0,1
345426,76.0,0.5,83.814,0.3227853116223457,3.0073205859362213,70.762,14.564000000000002,10.0,treated,,NC,Valley View Care and Rehabilitation,2019.0,1
345436,80.0,2.5,95.0,0.2356910740869645,3.2934929475559613,65.312,10.387,10.0,treated,,NC,Wellington Rehabilitation and Healthcare,2019.0,1
345442,60.0,2.0,91.333,0.24046393187911058,3.4159247193273456,71.543,16.582,10.0,treated,,NC,Forrest Oakes Healthcare,2019.0,1
345447,100.0,4.5,94.1,0.3801752860641954,3.1597764517986398,62.629,14.317000000000002,10.0,treated,,NC,Emerald Ridge Health and Rehabilitation,2019.0,1
