omega_landlord,facility_name_source,city_state_source,ccn_str,match_method,city_source,state,provider_name_latest,provider_state,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,pbj_source_files,pbj_days_observed,pbj_mean_census,pbj_total_rn_hours,pbj_total_nurse_hours,pbj_mean_rn_hprd,pbj_mean_nurse_hprd,cms_provider_name,cms_ownership_type,cms_legal_business_name,cms_chain_name,cms_overall_rating,cms_health_rating,cms_qm_rating,cms_staffing_rating,cms_rn_staffing_rating,cms_reported_total_nurse_hprd,cms_chow_last_12mos,cms_total_weighted_health_survey_score,cms_substantiated_complaints,deficiency_citations,deficiency_standard_citations,deficiency_complaint_citations,deficiency_infection_control_citations,deficiency_actual_harm_or_ij_citations,deficiency_unique_survey_dates,survey_summary_rows,survey_summary_total_health_deficiencies,survey_summary_total_fire_safety_deficiencies,survey_summary_infection_control_deficiencies
"FC Encore Union, LLC",Hilltop Manor Health and Rehabilitation Center,"Union, Mississippi",255260,exact_provider_name,Union,MS,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,2017,-2,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,60,53,55.43,82.46,12.28,0.334,0.836,1.441,2.611,4,365,55.10022628337846,13569.31,63334.54,0.6746901729982122,3.1500565584084836,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,2.0,3.0,1.0,3.0,3.0,3.37982,N,18.000,0.0,2.0,2.0,0.0,,0.0,1.0,1.0,2.0,0.0,
"FC Encore Union, LLC",Hilltop Manor Health and Rehabilitation Center,"Union, Mississippi",255260,exact_provider_name,Union,MS,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,2018,-1,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,,51,56.02,,,,,,,4,365,55.833231804427456,15565.15,61683.43,0.7650890239875756,3.027448266287234,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,,,,,4.0,2.99781,N,17.600,0.0,,,,,,,,,,
"FC Encore Union, LLC",Hilltop Manor Health and Rehabilitation Center,"Union, Mississippi",255260,exact_provider_name,Union,MS,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,2019,0,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,60,53,56.38,81.13,13.21,,,,,4,365,56.033029410203326,18739.49,71049.51000000001,0.9162628903383048,3.476247597227759,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,,,,,4.0,3.52358,N,12.000,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,0.0,
"FC Encore Union, LLC",Hilltop Manor Health and Rehabilitation Center,"Union, Mississippi",255260,exact_provider_name,Union,MS,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,2020,1,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,60,51,38.57,81.13,13.21,,,,,4,366,51.215032250358334,21732.72,67855.15,1.169949046476444,3.6431840160836826,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,3.0,4.0,1.0,4.0,5.0,3.49796,N,14.000,1.0,,,,,,,,,,
"FC Encore Union, LLC",Hilltop Manor Health and Rehabilitation Center,"Union, Mississippi",255260,exact_provider_name,Union,MS,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,2021,2,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS,60,44,51.76,67.27,3.64,,,,,4,365,51.30155478579391,18688.67,64689.91,1.007267862259673,3.4661001404822835,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,For profit - Corporation,"HILLTOP MISSISSIPPI HEALTHCARE, LLC",,3.0,4.0,1.0,4.0,5.0,3.61261,N,12.000,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,
"FC Encore Starkville, LLC",Starkville Manor Health Care and Rehabilitation Center,"Starkville, Mississippi",255172,fuzzy_provider_name,Starkville,MS,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,MS,2017,-2,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,MS,119,97,108.15,65.42,16.82,0.372,0.578,1.578,2.527,4,365,108.05883168763604,22292.73,129722.62,0.5659918395956541,3.2929704525433676,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,For profit - Individual,STARKVILLE MANOR HEALTHCARE LLC,,2.0,2.0,4.0,2.0,4.0,2.90093,N,32.667,2.0,4.0,2.0,2.0,,0.0,2.0,1.0,2.0,0.0,
"FC Encore Starkville, LLC",Starkville Manor Health Care and Rehabilitation Center,"Starkville, Mississippi",255172,fuzzy_provider_name,Starkville,MS,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,MS,2018,-1,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,MS,119,102,109.11,75.45,7.27,,,0.0,,4,365,108.87356598715294,20679.57,135579.6,0.5217224114108242,3.411403357294573,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,For profit - Individual,STARKVILLE MANOR HEALTHCARE LLC,,,,,,3.0,3.32902,N,22.400,1.0,,,,,,,,,,
"FC Encore Starkville, LLC",Starkville Manor Health Care and Rehabilitation Center,"Starkville, Mississippi",255172,fuzzy_provider_name,Starkville,MS,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,MS,2019,0,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,MS,119,103,108.53,84.91,8.49,,,,,4,365,107.99908756702236,16948.27,132470.58,0.4302530955326135,3.3617368534498877,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,For profit - Individual,STARKVILLE MANOR HEALTHCARE LLC,,,,,,2.0,3.40294,N,109.500,0.0,,,,,,,,,,
"FC Encore Starkville, LLC",Starkville Manor Health Care and Rehabilitation Center,"Starkville, Mississippi",255172,fuzzy_provider_name,Starkville,MS,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,MS,2020,1,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,MS,119,99,79.92,84.91,8.49,,,,,4,366,104.04506091734352,20710.61,120557.98,0.5469266216657138,3.174071785823266,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,For profit - Individual,STARKVILLE MANOR HEALTHCARE LLC,,1.0,1.0,1.0,3.0,3.0,3.28659,N,89.000,3.0,,,,,,,,,,
"FC Encore Starkville, LLC",Starkville Manor Health Care and Rehabilitation Center,"Starkville, Mississippi",255172,fuzzy_provider_name,Starkville,MS,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,MS,2021,2,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,MS,119,104,108.72,84.91,8.49,,,,,4,365,109.27690781440782,16371.36,112997.08,0.4107703362497213,2.8358011222080473,STARKVILLE MANOR HEALTH CARE AND REHABILITATION CE,For profit - Individual,STARKVILLE MANOR HEALTHCARE LLC,,1.0,1.0,3.0,2.0,2.0,2.7522,N,87.667,3.0,,,,,,,,,,
