panel,tercile,coef,se,lb,ub
National,Low,-0.0275,0.0819,-0.188024,0.133024
National,Middle,-0.185,0.0666,-0.31553600000000004,-0.054463999999999985
National,High,-0.326,0.104,-0.52984,-0.12216000000000002
Same-state,Low,-0.0785,0.0831,-0.24137599999999998,0.08437599999999999
Same-state,Middle,-0.156,0.0673,-0.287908,-0.024092000000000002
Same-state,High,-0.308,0.103,-0.50988,-0.10612000000000002
Matched,Low,-0.0793,0.0933,-0.26216799999999996,0.10356799999999998
Matched,Middle,-0.00462,0.0953,-0.191408,0.18216799999999997
Matched,High,-0.225,0.111,-0.44256,-0.007440000000000002
